ISO.Code,Country.Name,Uncertainty.Bounds*,1990.5,1991.5,1992.5,1993.5,1994.5,1995.5,1996.5,1997.5,1998.5,1999.5,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5,2019.5
AFG,Afghanistan,Lower,6.8559,6.5270,6.4049,6.4012,6.4553,6.5794,6.6519,6.9239,7.1920,7.4174,7.4818,7.4449,7.3802,7.3059,7.4016,7.6770,8.0301,8.2968,8.2944,8.0718,7.7293,7.2685,6.7152,6.0100,5.1491,4.1293,3.2168,2.5458,2.0750,1.7336
AFG,Afghanistan,Median,18.2802,16.8621,15.6011,14.4768,13.4737,12.6329,11.8688,11.2506,10.7625,10.3673,10.0655,9.8275,9.5939,9.4197,9.4241,9.5569,9.7827,10.0433,10.2336,10.1912,9.8258,9.2190,8.4528,7.5903,6.7017,5.9133,5.2970,4.8694,4.5553,4.2996
AFG,Afghanistan,Upper,42.4881,36.7781,31.9622,27.4836,24.0607,21.1997,18.8032,16.9317,15.5000,14.4662,13.6775,13.0974,12.5260,12.0884,11.8076,11.7059,11.8029,12.1356,12.6503,12.9443,12.8522,12.1914,11.0698,9.8112,8.9003,8.4142,8.1117,7.8596,7.7643,7.7167
ALB,Albania,Lower,6.0888,5.7525,5.4151,5.0930,4.7986,4.5407,4.3254,4.8779,3.9888,3.8558,3.7333,3.6103,3.4841,3.3561,3.2308,3.1104,2.9956,2.8858,2.7843,2.6840,2.5941,2.5075,2.4241,2.3451,2.2665,2.1853,2.0972,2.0018,1.8995,1.7954
ALB,Albania,Median,6.3297,5.9470,5.5876,5.2593,4.9643,4.7066,4.4889,5.0683,4.1522,4.0175,3.8986,3.7872,3.6779,3.5719,3.4636,3.3545,3.2428,3.1339,3.0264,2.9196,2.8168,2.7147,2.6169,2.5211,2.4274,2.3373,2.2504,2.1666,2.0836,2.0051
ALB,Albania,Upper,6.5708,6.1432,5.7675,5.4339,5.1375,4.8771,4.6557,5.2603,4.3148,4.1848,4.0758,3.9780,3.8880,3.7977,3.7076,3.6150,3.5117,3.4033,3.2906,3.1747,3.0587,2.9404,2.8195,2.7034,2.5930,2.4959,2.4088,2.3374,2.2805,2.2386
DZA,Algeria,Lower,8.4365,8.1212,7.8399,7.5967,8.0727,8.1594,6.9997,7.7420,7.6048,6.4301,6.2040,5.9517,5.6840,6.2495,5.1958,4.9936,4.8202,4.6621,4.5090,4.3565,4.2010,4.0514,3.9063,3.7715,3.6498,3.5447,3.4662,3.4018,3.3328,3.2442
DZA,Algeria,Median,9.0951,8.8085,8.5326,8.2710,8.7567,8.8031,7.4879,8.2005,7.9690,6.6711,6.3806,6.0855,5.7990,6.3750,5.2962,5.0893,4.9086,4.7462,4.5879,4.4312,4.2757,4.1250,3.9806,3.8446,3.7218,3.6164,3.5337,3.4667,3.4079,3.3470
DZA,Algeria,Upper,9.7929,9.5493,9.2806,8.9897,9.4847,9.4800,8.0016,8.6818,8.3486,6.9130,6.5588,6.2216,5.9173,6.5048,5.3999,5.1881,4.9987,4.8297,4.6699,4.5074,4.3508,4.1972,4.0527,3.9202,3.7960,3.6895,3.6038,3.5357,3.4840,3.4514
